ASV.ID	Taxon
90085c77bd50f0be6408d4a61890beee	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium_fulvescens;
40b4dcb27a3c966d75a5deef8eea224f	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo;Akashiwo_sanguinea;
486ac987d4d7b983ff56f9092fb51d47	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_dominans;
b83211a540d655b165dc1f8090637b6b	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus_lucimarinus;
e14503e186d37c39ddc15c52ed5d48c0	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium
962da130656eec25d663e8c4175c4e03	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira_delicatula;
48f3dd16e1927f35d67e4c4362b1f455	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Rhizosolenia;Rhizosolenia_delicatula;
bb593e762295c07fda9cd805a21ca401	Eukaryota;Alveolata;Ciliophora;Prostomatea_1;Prostomatea_1_X;Colepidae;Tiarina;Tiarina_sp.;
4920e34b3d0375f754346dbb606d2735	Eukaryota;Stramenopiles;Ochrophyta;Raphidophyceae;Raphidophyceae_X;Raphidophyceae_XX;Heterosigma;Heterosigma_akashiwo;
764a6093dcf3715caade06fcc42f2ebe	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum
2c7ee3670d467ba4747a8eac0179b5aa	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_dominans;
032a477aacfe1a92c3888edd32ff02e8	Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX
1092f8f45ee3aec5ecfa66119f582981	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa
0e9b2e5d711533aecdeccb34a22cc5b1	Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria_4;Didiniidae;Didiniidae_X;Didiniidae_X_sp.;
54044bf14201ce79c470cf3b998121d2	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Florenciellales
36f5632c82dcf62502218ce7e68d700e	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;Thigmophryidae;Myxophyllum;Myxophyllum_sp.;
2cead1436e2c43d56ab9b811b46cb720	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia;Pseudo-nitzschia_sp.;
242a0b59b648f0ce7472803d02b056e5	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum
2d5a66732a79378e852277ce9b6d3082	Eukaryota;Alveolata;Ciliophora;Prostomatea_1;Prostomatea_1_X;Colepidae;Tiarina;Tiarina_sp.;
7b1f15e60a829099b8254a77a95c9616	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_commoda_A2;
